STD_ZIP5,STUSPS,category_x,event_index,category_y
44833,OH,TSTM,1.0,TSTM
44836,OH,TSTM,1.0,TSTM
44837,OH,TSTM,1.0,TSTM
44838,OH,TSTM,1.0,TSTM
44839,OH,TSTM,1.0,TSTM
44840,OH,TSTM,1.0,TSTM
44841,OH,TSTM,1.0,TSTM
44842,OH,TSTM,1.0,TSTM
44843,OH,TSTM,1.0,TSTM
44844,OH,TSTM,1.0,TSTM
44846,OH,TSTM,1.0,TSTM
44847,OH,TSTM,1.0,TSTM
44849,OH,TSTM,1.0,TSTM
44850,OH,TSTM,1.0,TSTM
44851,OH,TSTM,1.0,TSTM
44853,OH,TSTM,1.0,TSTM
44854,OH,TSTM,1.0,TSTM
44855,OH,TSTM,1.0,TSTM
44857,OH,TSTM,1.0,TSTM
44859,OH,TSTM,1.0,TSTM
44861,OH,TSTM,1.0,TSTM
44864,OH,TSTM,1.0,TSTM
44865,OH,TSTM,1.0,TSTM
44866,OH,TSTM,1.0,TSTM
44867,OH,TSTM,1.0,TSTM
44870,OH,TSTM,1.0,TSTM
44871,OH,TSTM,1.0,TSTM
44874,OH,TSTM,1.0,TSTM
44875,OH,TSTM,1.0,TSTM
44878,OH,TSTM,1.0,TSTM
44880,OH,TSTM,1.0,TSTM
44882,OH,TSTM,1.0,TSTM
44883,OH,TSTM,1.0,TSTM
44887,OH,TSTM,1.0,TSTM
44889,OH,TSTM,1.0,TSTM
44890,OH,TSTM,1.0,TSTM
44901,OH,TSTM,1.0,TSTM
44902,OH,TSTM,1.0,TSTM
44903,OH,TSTM,1.0,TSTM
44904,OH,TSTM,1.0,TSTM
44905,OH,TSTM,1.0,TSTM
44906,OH,TSTM,1.0,TSTM
44907,OH,TSTM,1.0,TSTM
45003,OH,TSTM,1.0,TSTM
45005,OH,TSTM,1.0,TSTM
45011,OH,TSTM,1.0,TSTM
45012,OH,TSTM,1.0,TSTM
45013,OH,TSTM,1.0,TSTM
45015,OH,TSTM,1.0,TSTM
45042,OH,TSTM,1.0,TSTM
45044,OH,TSTM,1.0,TSTM
45050,OH,TSTM,1.0,TSTM
45053,OH,TSTM,1.0,TSTM
