STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
19474,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19475,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19477,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19478,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19480,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19481,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19482,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19484,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19490,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19492,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19501,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19503,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19504,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19505,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19506,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19507,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19508,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19510,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19512,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19516,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19518,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19520,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19522,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19523,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19525,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19526,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19529,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19530,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19533,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19534,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19535,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19536,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19538,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19539,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19540,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19541,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19543,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19544,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19547,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19549,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19550,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19551,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
