NAMELSAD,STUSPS,category,event_index
Price County,WI,TSTM,1.0
Liberty County,FL,TSTM,1.0
Newton County,GA,TSTM,1.0
Houghton County,MI,TSTM,1.0
Lake County,CA,TSTM,1.0
Grady County,GA,TSTM,1.0
Gooding County,ID,TSTM,1.0
Teton County,WY,TSTM,1.0
Chowan County,NC,TSTM,1.0
Plumas County,CA,TSTM,1.0
Bibb County,GA,TSTM,1.0
Curry County,OR,TSTM,1.0
Wasatch County,UT,TSTM,1.0
Caribou County,ID,TSTM,1.0
Bacon County,GA,TSTM,1.0
Jackson County,GA,TSTM,1.0
Tattnall County,GA,TSTM,1.0
Martin County,NC,TSTM,1.0
San Mateo County,CA,TSTM,1.0
Bear Lake County,ID,TSTM,1.0
Umatilla County,OR,TSTM,1.0
Whitfield County,GA,TSTM,1.0
Kitsap County,WA,TSTM,1.0
Steele County,MN,TSTM,1.0
Spalding County,GA,TSTM,1.0
Butts County,GA,TSTM,1.0
Elmore County,AL,TSTM,1.0
Lumpkin County,GA,TSTM,1.0
Indian River County,FL,TSTM,1.0
Mason County,WA,TSTM,1.0
Siskiyou County,CA,TSTM,1.0
Jefferson County,AL,TSTM,1.0
Walker County,AL,TSTM,1.0
Gadsden County,FL,TSTM,1.0
Dade County,GA,TSTM,1.0
Randolph County,AL,TSTM,1.0
Montgomery County,AL,TSTM,1.0
Brunswick County,NC,TSTM,1.0
Bibb County,AL,TSTM,1.0
Houston County,GA,TSTM,1.0
Santa Cruz County,CA,TSTM,1.0
McIntosh County,GA,TSTM,1.0
Monroe County,GA,TSTM,1.0
Forsyth County,GA,TSTM,1.0
Calhoun County,SC,TSTM,1.0
Sublette County,WY,TSTM,1.0
Clark County,WI,TSTM,1.0
St. Croix County,WI,TSTM,1.0
Glynn County,GA,TSTM,1.0
Pierce County,WA,TSTM,1.0
Lincoln County,ID,TSTM,1.0
Etowah County,AL,TSTM,1.0
Camas County,ID,TSTM,1.0
Rusk County,WI,TSTM,1.0
Georgetown County,SC,TSTM,1.0
Tooele County,UT,TSTM,1.0
Buffalo County,WI,TSTM,1.0
Gulf County,FL,TSTM,1.0
Chilton County,AL,TSTM,1.0
Coffee County,AL,TSTM,1.0
Canyon County,ID,TSTM,1.0
Leon County,FL,TSTM,1.0
Covington County,AL,TSTM,1.0
Glenn County,CA,TSTM,1.0
Fannin County,GA,TSTM,1.0
Thurston County,WA,TSTM,1.0
Clay County,NC,TSTM,1.0
Houston County,MN,TSTM,1.0
Dare County,NC,TSTM,1.0
Columbus County,NC,TSTM,1.0
Henry County,AL,TSTM,1.0
Lee County,GA,TSTM,1.0
Washington County,OR,TSTM,1.0
Hillsborough County,FL,TSTM,1.0
Charlotte County,FL,TSTM,1.0
Skamania County,WA,TSTM,1.0
Gilmer County,GA,TSTM,1.0
